#time,accel_x,accel_y,accel_z
1031.740275,-5477.523971,3775.050304,459.657299
1031.740591,-4515.256246,-962.267725,459.657299
1031.740907,-6809.894666,2664.741391,-536.266849
1031.741223,-5551.544565,148.041188,-383.047749
1031.741538,-6587.832884,1924.535449,-612.876398
1031.741854,-6513.812290,1554.432478,-229.828649
1031.742170,-7772.162391,1332.370696,-536.266849
1031.742486,-6957.935855,444.123565,-612.876398
1031.742802,-6439.791695,2738.761985,-1225.752797
1031.743117,-7994.224174,-3404.947333,-2451.505594
1031.743433,-9400.615463,592.164754,-3600.648841
1031.743749,-7920.203579,-3478.967927,-4290.134789
1031.744065,-7994.224174,-3034.844362,-4673.182538
1031.744380,-9252.574275,-4885.359217,-6052.154434
1031.744696,-8882.471304,-4589.276840,-6128.763984
1031.745012,-10436.903782,-5921.647536,-6128.763984
1031.745328,-10288.862594,-3849.070898,-5056.230287
1031.745644,-13323.706956,-2072.576638,-4673.182538
1031.745959,-11621.233289,-2516.700203,-1915.238745
1031.746275,-14211.954086,148.041188,-1532.190996
1031.746591,-13619.789333,-1850.514855,-612.876398
1031.746907,-16506.592507,-1480.411884,-1225.752797
1031.747223,-13027.624579,-296.082377,-919.314598
1031.747538,-13101.645173,-1554.432478,-2528.115143
1031.747854,-10807.006753,-3775.050304,-4366.744339
1031.748170,-11843.295072,-4811.338623,-5056.230287
1031.748486,-11177.109724,-6587.832884,-6971.469032
1031.748802,-9252.574275,-6513.812290,-6818.249932
1031.749117,-10066.800811,-6365.771101,-7354.516781
1031.749433,-9400.615463,-6809.894666,-7354.516781
1031.749749,-10807.006753,-6661.853478,-6205.373534
1031.750065,-11843.295072,-5181.441594,-3217.601092
1031.750380,-11695.253884,-4219.173869,-4060.306139
1031.750696,-11325.150913,-2368.659014,-2987.772442
1031.751012,-13619.789333,-666.185348,-1838.629195
1031.751328,-14804.118840,-518.144159,-689.485948
1031.751644,-13619.789333,-814.226536,306.438199
1031.751959,-14137.933492,-814.226536,153.219100
1031.752275,-11991.336260,-2146.597232,76.609550
1031.752591,-10658.965565,-1628.453072,-153.219100
1031.752907,-11547.212695,-2146.597232,-459.657299
1031.753223,-10732.986159,-4589.276840,0.000000
1031.753538,-10955.047942,-3108.864956,0.000000
1031.753854,-9326.594869,-6439.791695,-3217.601092
1031.754170,-9696.697840,-6661.853478,-4213.525239
1031.754486,-9474.636058,-666.185348,-612.876398
1031.754801,-10214.842000,-2072.576638,4136.915689
1031.755117,-10510.924376,-740.205942,4136.915689
1031.755433,-11621.233289,-2146.597232,4290.134789
1031.755749,-13101.645173,-2516.700203,3447.429741
1031.756065,-11251.130318,-2368.659014,3370.820191
1031.756380,-10510.924376,74.020594,4749.792088
1031.756696,-10658.965565,-1332.370696,5056.230287
1031.757012,-9696.697840,296.082377,3983.696590
1031.757328,-6883.915261,814.226536,2604.724693
1031.757644,-7031.956449,1036.288319,5209.449386
1031.757959,-7031.956449,1184.329507,5286.058936
1031.758275,-6809.894666,1554.432478,4443.353888
1031.758591,-6365.771101,1332.370696,3294.210641
1031.758907,-4737.318029,2072.576638,3140.991542
1031.759222,-6661.853478,3627.009116,3524.039291
1031.759538,-7254.018232,5403.503377,4290.134789
1031.759854,-7179.997637,5995.668130,4979.620737
1031.760170,-7179.997637,7476.080014,5515.887586
1031.760486,-7920.203579,7624.121203,6741.640382
1031.760801,-8068.244768,8364.327145,6894.859482
1031.761117,-9400.615463,7698.141797,6281.983084
1031.761433,-7846.182985,7179.997637,6052.154434
1031.761749,-7698.141797,7105.977043,4136.915689
1031.762065,-7031.956449,5255.462188,4979.620737
1031.762380,-7254.018232,4737.318029,4443.353888
1031.762696,-6217.729913,2072.576638,2834.553343
1031.763012,-5625.565159,1332.370696,1608.800546
1031.763328,-4737.318029,888.247130,1225.752797
1031.763643,-5107.421000,1332.370696,1072.533697
1031.763959,-5625.565159,666.185348,459.657299
1031.764275,-4811.338623,2516.700203,0.000000
